year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Nagarkurnool,Peddakothapalle,Maize,10740,9850
2018-2019,Kharif,Nagarkurnool,Kodair,Maize,4791,3341
2018-2019,Kharif,Nagarkurnool,Kollapur,Maize,2390,1843
2018-2019,Kharif,Nagarkurnool,Pentlavelli,Maize,473,499
2018-2019,Kharif,Nagarkurnool,Thimmajipeta,Ragi,1,0
2018-2019,Kharif,Nagarkurnool,Bijinapalle,Ragi,39,69
2018-2019,Kharif,Nagarkurnool,Nagarkurnool,Ragi,0,0
2018-2019,Kharif,Nagarkurnool,Tadoor,Ragi,0,0
2018-2019,Kharif,Nagarkurnool,Urkonda,Ragi,0,0
2018-2019,Kharif,Nagarkurnool,Veldanda,Ragi,0,0
2018-2019,Kharif,Nagarkurnool,Charakonda,Ragi,0,0
2018-2019,Kharif,Nagarkurnool,Vangoor,Ragi,0,0
2018-2019,Kharif,Nagarkurnool,Kalwakurthy,Ragi,0,0
2018-2019,Kharif,Nagarkurnool,Telkapalle,Ragi,2,9
2018-2019,Kharif,Nagarkurnool,Uppunuthala,Ragi,0,0
2018-2019,Kharif,Nagarkurnool,Achampet,Ragi,0,0
2018-2019,Kharif,Nagarkurnool,Amrabad,Ragi,1,0
2018-2019,Kharif,Nagarkurnool,Padara,Ragi,0,0
2018-2019,Kharif,Nagarkurnool,Balmoor,Ragi,9,0
2018-2019,Kharif,Nagarkurnool,Lingal,Ragi,4,0
2018-2019,Kharif,Nagarkurnool,Peddakothapalle,Ragi,32,55
2018-2019,Kharif,Nagarkurnool,Kodair,Ragi,122,91
2018-2019,Kharif,Nagarkurnool,Kollapur,Ragi,1,8
2018-2019,Kharif,Nagarkurnool,Pentlavelli,Ragi,0,2
2018-2019,Kharif,Nagarkurnool,Thimmajipeta,Korra,0,0
2018-2019,Kharif,Nagarkurnool,Bijinapalle,Korra,0,0
2018-2019,Kharif,Nagarkurnool,Nagarkurnool,Korra,0,0
2018-2019,Kharif,Nagarkurnool,Tadoor,Korra,0,0
2018-2019,Kharif,Nagarkurnool,Urkonda,Korra,0,0
2018-2019,Kharif,Nagarkurnool,Veldanda,Korra,0,0
2018-2019,Kharif,Nagarkurnool,Charakonda,Korra,0,0
2018-2019,Kharif,Nagarkurnool,Vangoor,Korra,0,0
2018-2019,Kharif,Nagarkurnool,Kalwakurthy,Korra,0,0
2018-2019,Kharif,Nagarkurnool,Telkapalle,Korra,0,0
2018-2019,Kharif,Nagarkurnool,Uppunuthala,Korra,3,0
2018-2019,Kharif,Nagarkurnool,Achampet,Korra,0,0
2018-2019,Kharif,Nagarkurnool,Amrabad,Korra,0,0
