year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Rabi,Mancherial,Mancherial,Green Gram,1,0
2018-2019,Rabi,Mancherial,Naspur,Green Gram,1,0
2018-2019,Rabi,Mancherial,Jaipur,Green Gram,120,41
2018-2019,Rabi,Mancherial,Bheemaram,Green Gram,43,12
2018-2019,Rabi,Mancherial,Chennur,Green Gram,63,14
2018-2019,Rabi,Mancherial,Kotapalli,Green Gram,52,23
2018-2019,Rabi,Mancherial,Jannaram,Black Gram,7,0
2018-2019,Rabi,Mancherial,Dandepalli,Black Gram,0,0
2018-2019,Rabi,Mancherial,Luxettipet,Black Gram,1,0
2018-2019,Rabi,Mancherial,Hajipur,Black Gram,7,0
2018-2019,Rabi,Mancherial,Kasipet,Black Gram,0,0
2018-2019,Rabi,Mancherial,Tandur,Black Gram,1,0
2018-2019,Rabi,Mancherial,Bhimini,Black Gram,1,0
2018-2019,Rabi,Mancherial,Kannepalli,Black Gram,9,0
2018-2019,Rabi,Mancherial,Vemanpalli,Black Gram,30,8
2018-2019,Rabi,Mancherial,Nennal,Black Gram,0,0
2018-2019,Rabi,Mancherial,Bellampalli,Black Gram,7,2
2018-2019,Rabi,Mancherial,Mandamarri,Black Gram,8,5
2018-2019,Rabi,Mancherial,Mancherial,Black Gram,0,0
2018-2019,Rabi,Mancherial,Naspur,Black Gram,0,0
2018-2019,Rabi,Mancherial,Jaipur,Black Gram,23,0
2018-2019,Rabi,Mancherial,Bheemaram,Black Gram,5,0
2018-2019,Rabi,Mancherial,Chennur,Black Gram,26,0
2018-2019,Rabi,Mancherial,Kotapalli,Black Gram,10,0
2018-2019,Rabi,Mancherial,Jannaram,Red Gram,1,0
2018-2019,Rabi,Mancherial,Dandepalli,Red Gram,0,0
2018-2019,Rabi,Mancherial,Luxettipet,Red Gram,0,0
2018-2019,Rabi,Mancherial,Hajipur,Red Gram,24,12
2018-2019,Rabi,Mancherial,Kasipet,Red Gram,69,54
2018-2019,Rabi,Mancherial,Tandur,Red Gram,38,19
2018-2019,Rabi,Mancherial,Bhimini,Red Gram,6,2
2018-2019,Rabi,Mancherial,Kannepalli,Red Gram,9,0
2018-2019,Rabi,Mancherial,Vemanpalli,Red Gram,0,0
2018-2019,Rabi,Mancherial,Nennal,Red Gram,0,0
2018-2019,Rabi,Mancherial,Bellampalli,Red Gram,17,0
2018-2019,Rabi,Mancherial,Mandamarri,Red Gram,13,0
2018-2019,Rabi,Mancherial,Mancherial,Red Gram,3,0
2018-2019,Rabi,Mancherial,Naspur,Red Gram,5,0
2018-2019,Rabi,Mancherial,Jaipur,Red Gram,1,0
2018-2019,Rabi,Mancherial,Bheemaram,Red Gram,0,0
2018-2019,Rabi,Mancherial,Chennur,Red Gram,8,0
2018-2019,Rabi,Mancherial,Kotapalli,Red Gram,0,0
2018-2019,Rabi,Mancherial,Jannaram,Bengal Gram,19,9
2018-2019,Rabi,Mancherial,Dandepalli,Bengal Gram,0,0
2018-2019,Rabi,Mancherial,Luxettipet,Bengal Gram,9,0
