year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Rabi,Jayashankar Bhupalpally,Govindaraopet,Black Gram,15,2
2018-2019,Rabi,Jayashankar Bhupalpally,Govindaraopet,Red Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Govindaraopet,Bengal Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Govindaraopet,Cow Gram,12,3
2018-2019,Rabi,Jayashankar Bhupalpally,Govindaraopet,Chillies,11,35
2018-2019,Rabi,Jayashankar Bhupalpally,Govindaraopet,Groundnut,88,10
2018-2019,Rabi,Jayashankar Bhupalpally,Govindaraopet,Sesamum,4,0
2018-2019,Rabi,Jayashankar Bhupalpally,Govindaraopet,Jowar,4,0
2018-2019,Rabi,Jayashankar Bhupalpally,Govindaraopet,Bajra,23,0
2018-2019,Rabi,Jayashankar Bhupalpally,Govindaraopet,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Govindaraopet,Horse Gram,1,0
2018-2019,Rabi,Jayashankar Bhupalpally,Govindaraopet,GROSS AREA SOWN,2809,200
2018-2019,Rabi,Jayashankar Bhupalpally,Kannaigudem,Paddy,103,50
2018-2019,Rabi,Jayashankar Bhupalpally,Kannaigudem,Maize,26,30
2018-2019,Rabi,Jayashankar Bhupalpally,Kannaigudem,Green Gram,52,48
2018-2019,Rabi,Jayashankar Bhupalpally,Kannaigudem,Black Gram,36,35
2018-2019,Rabi,Jayashankar Bhupalpally,Kannaigudem,Red Gram,7,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kannaigudem,Bengal Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kannaigudem,Cow Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kannaigudem,Chillies,324,560
2018-2019,Rabi,Jayashankar Bhupalpally,Kannaigudem,Groundnut,84,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kannaigudem,Sesamum,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kannaigudem,Jowar,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kannaigudem,Bajra,0,0
