year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Sangareddy,Kondapoor,Bajra,0,
2018-2019,Kharif,Sangareddy,Patancheru,Bajra,3,
2018-2019,Kharif,Sangareddy,Ameenpur ,Bajra,0,
2018-2019,Kharif,Sangareddy,R.c.puram,Bajra,0,
2018-2019,Kharif,Sangareddy,Jinnaram,Bajra,0,
2018-2019,Kharif,Sangareddy,Gummadidala ,Bajra,0,
2018-2019,Kharif,Sangareddy,Zaheerabad,Bajra,119,88
2018-2019,Kharif,Sangareddy,Mogudampally ,Bajra,14,
2018-2019,Kharif,Sangareddy,Kohir,Bajra,14,0
2018-2019,Kharif,Sangareddy,Jharasangam,Bajra,45,
2018-2019,Kharif,Sangareddy,Nyalkal,Bajra,32,21
2018-2019,Kharif,Sangareddy,Narayankhed,Bajra,0,
2018-2019,Kharif,Sangareddy,Kangti,Bajra,0,
2018-2019,Kharif,Sangareddy,Kalher,Bajra,0,
2018-2019,Kharif,Sangareddy,Sirgapur,Bajra,0,
2018-2019,Kharif,Sangareddy,Manoor,Bajra,0,
2018-2019,Kharif,Sangareddy,Nagalgidda ,Bajra,0,
2018-2019,Kharif,Sangareddy,Andole,Bajra,0,
2018-2019,Kharif,Sangareddy,Pulkal,Bajra,0,
2018-2019,Kharif,Sangareddy,Hathnoora,Bajra,0,
2018-2019,Kharif,Sangareddy,Raikode,Bajra,0,
2018-2019,Kharif,Sangareddy,Munipally,Bajra,0,
2018-2019,Kharif,Sangareddy,Vatpally ,Bajra,0,
2018-2019,Kharif,Sangareddy,Sangareddy,Red Gram,252,75
2018-2019,Kharif,Sangareddy,Kandi ,Red Gram,108,231
2018-2019,Kharif,Sangareddy,Sadasivpet,Red Gram,463,350
2018-2019,Kharif,Sangareddy,Kondapoor,Red Gram,300,708
2018-2019,Kharif,Sangareddy,Patancheru,Red Gram,122,62
2018-2019,Kharif,Sangareddy,Ameenpur ,Red Gram,1,6
2018-2019,Kharif,Sangareddy,R.c.puram,Red Gram,51,76
2018-2019,Kharif,Sangareddy,Jinnaram,Red Gram,61,45
2018-2019,Kharif,Sangareddy,Gummadidala ,Red Gram,38,87
2018-2019,Kharif,Sangareddy,Zaheerabad,Red Gram,2986,1819
2018-2019,Kharif,Sangareddy,Mogudampally ,Red Gram,680,50
2018-2019,Kharif,Sangareddy,Kohir,Red Gram,1913,2014
2018-2019,Kharif,Sangareddy,Jharasangam,Red Gram,890,248
2018-2019,Kharif,Sangareddy,Nyalkal,Red Gram,2002,1985
2018-2019,Kharif,Sangareddy,Narayankhed,Red Gram,1521,1646
2018-2019,Kharif,Sangareddy,Kangti,Red Gram,1857,2122.4
2018-2019,Kharif,Sangareddy,Kalher,Red Gram,495,647.2
2018-2019,Kharif,Sangareddy,Sirgapur,Red Gram,335,709
2018-2019,Kharif,Sangareddy,Manoor,Red Gram,2351,1236
2018-2019,Kharif,Sangareddy,Nagalgidda ,Red Gram,815,2411.2
2018-2019,Kharif,Sangareddy,Andole,Red Gram,348,80
2018-2019,Kharif,Sangareddy,Pulkal,Red Gram,191,10
2018-2019,Kharif,Sangareddy,Hathnoora,Red Gram,235,160
2018-2019,Kharif,Sangareddy,Raikode,Red Gram,961,819
2018-2019,Kharif,Sangareddy,Munipally,Red Gram,571,321
2018-2019,Kharif,Sangareddy,Vatpally ,Red Gram,233,94
2018-2019,Kharif,Sangareddy,Sangareddy,Green Gram,20,25
2018-2019,Kharif,Sangareddy,Kandi ,Green Gram,3,
2018-2019,Kharif,Sangareddy,Sadasivpet,Green Gram,128,72
2018-2019,Kharif,Sangareddy,Kondapoor,Green Gram,101,51
2018-2019,Kharif,Sangareddy,Patancheru,Green Gram,2,
2018-2019,Kharif,Sangareddy,Ameenpur ,Green Gram,0,
2018-2019,Kharif,Sangareddy,R.c.puram,Green Gram,1,
2018-2019,Kharif,Sangareddy,Jinnaram,Green Gram,10,0
2018-2019,Kharif,Sangareddy,Gummadidala ,Green Gram,11,11
2018-2019,Kharif,Sangareddy,Zaheerabad,Green Gram,1011,571
2018-2019,Kharif,Sangareddy,Mogudampally ,Green Gram,454,17
2018-2019,Kharif,Sangareddy,Kohir,Green Gram,505,321
2018-2019,Kharif,Sangareddy,Jharasangam,Green Gram,900,456
2018-2019,Kharif,Sangareddy,Nyalkal,Green Gram,2174,1250
2018-2019,Kharif,Sangareddy,Narayankhed,Green Gram,3131,1556
2018-2019,Kharif,Sangareddy,Kangti,Green Gram,1981,1769.2
2018-2019,Kharif,Sangareddy,Kalher,Green Gram,829,764
2018-2019,Kharif,Sangareddy,Sirgapur,Green Gram,555,1139
2018-2019,Kharif,Sangareddy,Manoor,Green Gram,3134,1021
2018-2019,Kharif,Sangareddy,Nagalgidda ,Green Gram,866,1722.4
2018-2019,Kharif,Sangareddy,Andole,Green Gram,245,29
2018-2019,Kharif,Sangareddy,Pulkal,Green Gram,90,7.2
2018-2019,Kharif,Sangareddy,Hathnoora,Green Gram,23,30
2018-2019,Kharif,Sangareddy,Raikode,Green Gram,1373,539
2018-2019,Kharif,Sangareddy,Munipally,Green Gram,276,201
2018-2019,Kharif,Sangareddy,Vatpally ,Green Gram,339,150
2018-2019,Kharif,Sangareddy,Sangareddy,Black Gram,32,5
2018-2019,Kharif,Sangareddy,Kandi ,Black Gram,5,
2018-2019,Kharif,Sangareddy,Sadasivpet,Black Gram,91,82
2018-2019,Kharif,Sangareddy,Kondapoor,Black Gram,70,51
2018-2019,Kharif,Sangareddy,Patancheru,Black Gram,9,15
2018-2019,Kharif,Sangareddy,Ameenpur ,Black Gram,0,
2018-2019,Kharif,Sangareddy,R.c.puram,Black Gram,1,
2018-2019,Kharif,Sangareddy,Jinnaram,Black Gram,3,0
2018-2019,Kharif,Sangareddy,Gummadidala ,Black Gram,5,0
2018-2019,Kharif,Sangareddy,Zaheerabad,Black Gram,920,514
2018-2019,Kharif,Sangareddy,Mogudampally ,Black Gram,439,42
2018-2019,Kharif,Sangareddy,Kohir,Black Gram,443,284
2018-2019,Kharif,Sangareddy,Jharasangam,Black Gram,387,217
2018-2019,Kharif,Sangareddy,Nyalkal,Black Gram,1136,615
2018-2019,Kharif,Sangareddy,Narayankhed,Black Gram,1594,1142
2018-2019,Kharif,Sangareddy,Kangti,Black Gram,1250,1192
2018-2019,Kharif,Sangareddy,Kalher,Black Gram,603,439.2
2018-2019,Kharif,Sangareddy,Sirgapur,Black Gram,264,522
2018-2019,Kharif,Sangareddy,Manoor,Black Gram,1983,647
2018-2019,Kharif,Sangareddy,Nagalgidda ,Black Gram,588,1261.6
2018-2019,Kharif,Sangareddy,Andole,Black Gram,183,23.9
2018-2019,Kharif,Sangareddy,Pulkal,Black Gram,82,9.2
2018-2019,Kharif,Sangareddy,Hathnoora,Black Gram,35,35
2018-2019,Kharif,Sangareddy,Raikode,Black Gram,474,413
2018-2019,Kharif,Sangareddy,Munipally,Black Gram,243,212
2018-2019,Kharif,Sangareddy,Vatpally ,Black Gram,136,30
2018-2019,Kharif,Sangareddy,Sangareddy,Cotton,1450,900
2018-2019,Kharif,Sangareddy,Kandi ,Cotton,702,618
2018-2019,Kharif,Sangareddy,Sadasivpet,Cotton,10929,10892.8
2018-2019,Kharif,Sangareddy,Kondapoor,Cotton,4833,5903
2018-2019,Kharif,Sangareddy,Patancheru,Cotton,415,508
2018-2019,Kharif,Sangareddy,Ameenpur ,Cotton,0,
2018-2019,Kharif,Sangareddy,R.c.puram,Cotton,178,109
2018-2019,Kharif,Sangareddy,Jinnaram,Cotton,193,3
2018-2019,Kharif,Sangareddy,Gummadidala ,Cotton,71,145
2018-2019,Kharif,Sangareddy,Zaheerabad,Cotton,325,120
2018-2019,Kharif,Sangareddy,Mogudampally ,Cotton,35,
2018-2019,Kharif,Sangareddy,Kohir,Cotton,2220,2039
