year,season,districtName,mandalName,crop,normalArea,actualArea
2018-2019,Rabi,Mahabubabad,Chinnagudur,Red Gram,5.514,0
2018-2019,Rabi,Mahabubabad,Dornakal,Red Gram,0.4,0
2018-2019,Rabi,Mahabubabad,Kuravi,Red Gram,0,0
2018-2019,Rabi,Mahabubabad,Narsimhulapet,Red Gram,0,0
2018-2019,Rabi,Mahabubabad,Danthalapalle,Red Gram,0,0
2018-2019,Rabi,Mahabubabad,Thorrur,Red Gram,0,0
2018-2019,Rabi,Mahabubabad,Peddavangara,Red Gram,0,0
2018-2019,Rabi,Mahabubabad,Mahabubabad,Cow Gram,60.6,0
2018-2019,Rabi,Mahabubabad,Kesamudram,Cow Gram,31,16
2018-2019,Rabi,Mahabubabad,Nellikudur,Cow Gram,55,25
2018-2019,Rabi,Mahabubabad,Kothaguda,Cow Gram,14.64,10
2018-2019,Rabi,Mahabubabad,Gangaram,Cow Gram,23.96,0
2018-2019,Rabi,Mahabubabad,Bayyaram,Cow Gram,81.6,0
2018-2019,Rabi,Mahabubabad,Garla,Cow Gram,30.6,10
2018-2019,Rabi,Mahabubabad,Gudur,Cow Gram,81.4,0
2018-2019,Rabi,Mahabubabad,Maripeda,Cow Gram,60.454,15
2018-2019,Rabi,Mahabubabad,Chinnagudur,Cow Gram,16.946,0
2018-2019,Rabi,Mahabubabad,Dornakal,Cow Gram,3,0
2018-2019,Rabi,Mahabubabad,Kuravi,Cow Gram,67.4,20
2018-2019,Rabi,Mahabubabad,Narsimhulapet,Cow Gram,24.026,10
2018-2019,Rabi,Mahabubabad,Danthalapalle,Cow Gram,21.574,5
2018-2019,Rabi,Mahabubabad,Thorrur,Cow Gram,40.608,6
2018-2019,Rabi,Mahabubabad,Peddavangara,Cow Gram,15,7
2018-2019,Rabi,Mahabubabad,Mahabubabad,Bengal  Gram,19.2,0
2018-2019,Rabi,Mahabubabad,Kesamudram,Bengal  Gram,2.6,0
2018-2019,Rabi,Mahabubabad,Nellikudur,Bengal  Gram,0,0
2018-2019,Rabi,Mahabubabad,Kothaguda,Bengal  Gram,0,0
2018-2019,Rabi,Mahabubabad,Gangaram,Bengal  Gram,0,0
2018-2019,Rabi,Mahabubabad,Bayyaram,Bengal  Gram,0,0
2018-2019,Rabi,Mahabubabad,Garla,Bengal  Gram,0,0
2018-2019,Rabi,Mahabubabad,Gudur,Bengal  Gram,0,0
2018-2019,Rabi,Mahabubabad,Maripeda,Bengal  Gram,0,0
2018-2019,Rabi,Mahabubabad,Chinnagudur,Bengal  Gram,0,0
2018-2019,Rabi,Mahabubabad,Dornakal,Bengal  Gram,0,0
2018-2019,Rabi,Mahabubabad,Kuravi,Bengal  Gram,1.8,0
2018-2019,Rabi,Mahabubabad,Narsimhulapet,Bengal  Gram,0,0
2018-2019,Rabi,Mahabubabad,Danthalapalle,Bengal  Gram,0,0
2018-2019,Rabi,Mahabubabad,Thorrur,Bengal  Gram,3.24,0
2018-2019,Rabi,Mahabubabad,Peddavangara,Bengal  Gram,0,0
2018-2019,Rabi,Mahabubabad,Mahabubabad,Chillies,379,150
2018-2019,Rabi,Mahabubabad,Kesamudram,Chillies,189.6,170
2018-2019,Rabi,Mahabubabad,Nellikudur,Chillies,456.2,0
2018-2019,Rabi,Mahabubabad,Kothaguda,Chillies,18.332,0
2018-2019,Rabi,Mahabubabad,Gangaram,Chillies,31.668,0
2018-2019,Rabi,Mahabubabad,Bayyaram,Chillies,2.4,0
2018-2019,Rabi,Mahabubabad,Garla,Chillies,0,0
2018-2019,Rabi,Mahabubabad,Gudur,Chillies,362.2,0
2018-2019,Rabi,Mahabubabad,Maripeda,Chillies,1751.758,0
2018-2019,Rabi,Mahabubabad,Chinnagudur,Chillies,477.242,0
2018-2019,Rabi,Mahabubabad,Dornakal,Chillies,22,0
2018-2019,Rabi,Mahabubabad,Kuravi,Chillies,0,0
2018-2019,Rabi,Mahabubabad,Narsimhulapet,Chillies,399.758,0
2018-2019,Rabi,Mahabubabad,Danthalapalle,Chillies,495.642,125
2018-2019,Rabi,Mahabubabad,Thorrur,Chillies,33.04,10
2018-2019,Rabi,Mahabubabad,Peddavangara,Chillies,13.2,5
2018-2019,Rabi,Mahabubabad,Mahabubabad,Groundnut,1107.6,950
2018-2019,Rabi,Mahabubabad,Kesamudram,Groundnut,808,580
2018-2019,Rabi,Mahabubabad,Nellikudur,Groundnut,1516.6,650
2018-2019,Rabi,Mahabubabad,Kothaguda,Groundnut,16.428,16
2018-2019,Rabi,Mahabubabad,Gangaram,Groundnut,25.172,15
2018-2019,Rabi,Mahabubabad,Bayyaram,Groundnut,59,0
2018-2019,Rabi,Mahabubabad,Garla,Groundnut,36.4,25
2018-2019,Rabi,Mahabubabad,Gudur,Groundnut,318.2,180
2018-2019,Rabi,Mahabubabad,Maripeda,Groundnut,1798.75,1550
2018-2019,Rabi,Mahabubabad,Chinnagudur,Groundnut,432.85,150
2018-2019,Rabi,Mahabubabad,Dornakal,Groundnut,37.2,25
2018-2019,Rabi,Mahabubabad,Kuravi,Groundnut,190.8,128
2018-2019,Rabi,Mahabubabad,Narsimhulapet,Groundnut,751.404,655
2018-2019,Rabi,Mahabubabad,Danthalapalle,Groundnut,912.596,415
2018-2019,Rabi,Mahabubabad,Thorrur,Groundnut,1047.496,120
2018-2019,Rabi,Mahabubabad,Peddavangara,Groundnut,563.6,285
2018-2019,Rabi,Mahabubabad,Mahabubabad,Sesamum,5.6,0
2018-2019,Rabi,Mahabubabad,Kesamudram,Sesamum,26.4,20
2018-2019,Rabi,Mahabubabad,Nellikudur,Sesamum,8.8,8
2018-2019,Rabi,Mahabubabad,Kothaguda,Sesamum,0,0
2018-2019,Rabi,Mahabubabad,Gangaram,Sesamum,0,0
2018-2019,Rabi,Mahabubabad,Bayyaram,Sesamum,1.2,0
2018-2019,Rabi,Mahabubabad,Garla,Sesamum,0.6,0
2018-2019,Rabi,Mahabubabad,Gudur,Sesamum,6,0
2018-2019,Rabi,Mahabubabad,Maripeda,Sesamum,0,0
2018-2019,Rabi,Mahabubabad,Chinnagudur,Sesamum,0,0
2018-2019,Rabi,Mahabubabad,Dornakal,Sesamum,0,0
2018-2019,Rabi,Mahabubabad,Kuravi,Sesamum,6.2,8
2018-2019,Rabi,Mahabubabad,Narsimhulapet,Sesamum,0,0
2018-2019,Rabi,Mahabubabad,Danthalapalle,Sesamum,0,0
2018-2019,Rabi,Mahabubabad,Thorrur,Sesamum,0,0
2018-2019,Rabi,Mahabubabad,Peddavangara,Sesamum,0,0
2018-2019,Rabi,Mahabubabad,Mahabubabad,Sunflower,0,0
2018-2019,Rabi,Mahabubabad,Kesamudram,Sunflower,0,0
2018-2019,Rabi,Mahabubabad,Nellikudur,Sunflower,0,0
2018-2019,Rabi,Mahabubabad,Kothaguda,Sunflower,4.2,0
2018-2019,Rabi,Mahabubabad,Gangaram,Sunflower,0,0
2018-2019,Rabi,Mahabubabad,Bayyaram,Sunflower,0,0
2018-2019,Rabi,Mahabubabad,Garla,Sunflower,0,0
2018-2019,Rabi,Mahabubabad,Gudur,Sunflower,0,0
2018-2019,Rabi,Mahabubabad,Maripeda,Sunflower,0,0
2018-2019,Rabi,Mahabubabad,Chinnagudur,Sunflower,0,0
2018-2019,Rabi,Mahabubabad,Dornakal,Sunflower,0,0
2018-2019,Rabi,Mahabubabad,Kuravi,Sunflower,0,0
2018-2019,Rabi,Mahabubabad,Narsimhulapet,Sunflower,0,0
2018-2019,Rabi,Mahabubabad,Danthalapalle,Sunflower,0,0
2018-2019,Rabi,Mahabubabad,Thorrur,Sunflower,0,0
