year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Wanaparthy,Revally,Groundnut,3.6,16
2018-2019,Kharif,Wanaparthy,Pangal,Groundnut,312.8,60
2018-2019,Kharif,Wanaparthy,Wanaparthy,Groundnut,481.8,140
2018-2019,Kharif,Wanaparthy,Kothakota,Groundnut,61.4,57
2018-2019,Kharif,Wanaparthy,Atmakur,Groundnut,2.8,0
2018-2019,Kharif,Wanaparthy,Pebbair,Groundnut,151.4,57
2018-2019,Kharif,Wanaparthy,Srirangapur,Groundnut,114.2,50
2018-2019,Kharif,Wanaparthy,Weepangandla,Groundnut,191.8,132
2018-2019,Kharif,Wanaparthy,Chinnambavi,Groundnut,45,15
2018-2019,Kharif,Wanaparthy,Amarachintha,Castor,934.2,306
2018-2019,Kharif,Wanaparthy,Madanapur,Castor,794,446
2018-2019,Kharif,Wanaparthy,Peddamandadi,Castor,1063.4,692
2018-2019,Kharif,Wanaparthy,Ghanpur,Castor,425.2,259
2018-2019,Kharif,Wanaparthy,Gopalpet,Castor,240.8,320
2018-2019,Kharif,Wanaparthy,Revally,Castor,77.8,73
2018-2019,Kharif,Wanaparthy,Pangal,Castor,1099,760
2018-2019,Kharif,Wanaparthy,Wanaparthy,Castor,967.2,490
2018-2019,Kharif,Wanaparthy,Kothakota,Castor,667.6,241
2018-2019,Kharif,Wanaparthy,Atmakur,Castor,875.2,599
2018-2019,Kharif,Wanaparthy,Pebbair,Castor,122.6,25
2018-2019,Kharif,Wanaparthy,Srirangapur,Castor,147.4,55
2018-2019,Kharif,Wanaparthy,Weepangandla,Castor,275.4,41
2018-2019,Kharif,Wanaparthy,Chinnambavi,Castor,5.8,0
2018-2019,Kharif,Wanaparthy,Amarachintha,Ragi,0,0
2018-2019,Kharif,Wanaparthy,Madanapur,Ragi,0,0
2018-2019,Kharif,Wanaparthy,Peddamandadi,Ragi,22.8,22
2018-2019,Kharif,Wanaparthy,Ghanpur,Ragi,5.8,14
2018-2019,Kharif,Wanaparthy,Gopalpet,Ragi,9,16
2018-2019,Kharif,Wanaparthy,Revally,Ragi,10.6,2
2018-2019,Kharif,Wanaparthy,Pangal,Ragi,6.4,0
2018-2019,Kharif,Wanaparthy,Wanaparthy,Ragi,2.8,0
2018-2019,Kharif,Wanaparthy,Kothakota,Ragi,2.4,0
2018-2019,Kharif,Wanaparthy,Atmakur,Ragi,0,0
2018-2019,Kharif,Wanaparthy,Pebbair,Ragi,0,0
2018-2019,Kharif,Wanaparthy,Srirangapur,Ragi,0.2,0
2018-2019,Kharif,Wanaparthy,Weepangandla,Ragi,0,0
2018-2019,Kharif,Wanaparthy,Chinnambavi,Ragi,0,0
