year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Rabi,Bhadradri Kothagudem,Yellandu,Green Gram,102,32
2018-2019,Rabi,Bhadradri Kothagudem,Allapalli,Green Gram,11,2
2018-2019,Rabi,Bhadradri Kothagudem,Gundala,Green Gram,28,7
2018-2019,Rabi,Bhadradri Kothagudem,Tekulapally,Green Gram,31,4
2018-2019,Rabi,Bhadradri Kothagudem,Kothagudem,Green Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Sujathanagar,Green Gram,9,4
2018-2019,Rabi,Bhadradri Kothagudem,Chunchupalli,Green Gram,1,0
2018-2019,Rabi,Bhadradri Kothagudem,Laxmidevipalli,Green Gram,5,4
2018-2019,Rabi,Bhadradri Kothagudem,Julurpadu,Green Gram,14,6
2018-2019,Rabi,Bhadradri Kothagudem,Chandrugonda,Green Gram,3,1
2018-2019,Rabi,Bhadradri Kothagudem,Annapureddipalli,Green Gram,1,0
2018-2019,Rabi,Bhadradri Kothagudem,Dammapet,Green Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Aswaraopet,Green Gram,28,7
2018-2019,Rabi,Bhadradri Kothagudem,Mulkalapally,Green Gram,4,2
2018-2019,Rabi,Bhadradri Kothagudem,Palwancha,Green Gram,50,35
2018-2019,Rabi,Bhadradri Kothagudem,Burgampadu,Green Gram,180,59
2018-2019,Rabi,Bhadradri Kothagudem,Manuguru,Green Gram,110,24
2018-2019,Rabi,Bhadradri Kothagudem,Aswapuram,Green Gram,236,46
2018-2019,Rabi,Bhadradri Kothagudem,Karakagudem,Green Gram,114,66
2018-2019,Rabi,Bhadradri Kothagudem,Pinapaka,Green Gram,207,56
2018-2019,Rabi,Bhadradri Kothagudem,Dummugudem,Green Gram,34,3
2018-2019,Rabi,Bhadradri Kothagudem,Bhadrachalam,Green Gram,2,0
2018-2019,Rabi,Bhadradri Kothagudem,Cherla,Green Gram,92,9
2018-2019,Rabi,Bhadradri Kothagudem,Yellandu,Black Gram,42,11
2018-2019,Rabi,Bhadradri Kothagudem,Allapalli,Black Gram,2,1
2018-2019,Rabi,Bhadradri Kothagudem,Gundala,Black Gram,10,3
2018-2019,Rabi,Bhadradri Kothagudem,Tekulapally,Black Gram,21,5
2018-2019,Rabi,Bhadradri Kothagudem,Kothagudem,Black Gram,1,0
2018-2019,Rabi,Bhadradri Kothagudem,Sujathanagar,Black Gram,13,4
2018-2019,Rabi,Bhadradri Kothagudem,Chunchupalli,Black Gram,1,0
2018-2019,Rabi,Bhadradri Kothagudem,Laxmidevipalli,Black Gram,4,2
2018-2019,Rabi,Bhadradri Kothagudem,Julurpadu,Black Gram,5,2
2018-2019,Rabi,Bhadradri Kothagudem,Chandrugonda,Black Gram,2,0
2018-2019,Rabi,Bhadradri Kothagudem,Annapureddipalli,Black Gram,2,0
2018-2019,Rabi,Bhadradri Kothagudem,Dammapet,Black Gram,5,1
2018-2019,Rabi,Bhadradri Kothagudem,Aswaraopet,Black Gram,47,22
2018-2019,Rabi,Bhadradri Kothagudem,Mulkalapally,Black Gram,12,2
2018-2019,Rabi,Bhadradri Kothagudem,Palwancha,Black Gram,22,9
2018-2019,Rabi,Bhadradri Kothagudem,Burgampadu,Black Gram,166,36
2018-2019,Rabi,Bhadradri Kothagudem,Manuguru,Black Gram,34,21
2018-2019,Rabi,Bhadradri Kothagudem,Aswapuram,Black Gram,82,44
2018-2019,Rabi,Bhadradri Kothagudem,Karakagudem,Black Gram,73,22
2018-2019,Rabi,Bhadradri Kothagudem,Pinapaka,Black Gram,106,41
2018-2019,Rabi,Bhadradri Kothagudem,Dummugudem,Black Gram,30,8
2018-2019,Rabi,Bhadradri Kothagudem,Bhadrachalam,Black Gram,3,1
2018-2019,Rabi,Bhadradri Kothagudem,Cherla,Black Gram,51,18
2018-2019,Rabi,Bhadradri Kothagudem,Yellandu,Red Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Allapalli,Red Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Gundala,Red Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Tekulapally,Red Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Kothagudem,Red Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Sujathanagar,Red Gram,1,0
2018-2019,Rabi,Bhadradri Kothagudem,Chunchupalli,Red Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Laxmidevipalli,Red Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Julurpadu,Red Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Chandrugonda,Red Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Annapureddipalli,Red Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Dammapet,Red Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Aswaraopet,Red Gram,10,0
2018-2019,Rabi,Bhadradri Kothagudem,Mulkalapally,Red Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Palwancha,Red Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Burgampadu,Red Gram,2,0
2018-2019,Rabi,Bhadradri Kothagudem,Manuguru,Red Gram,6,0
2018-2019,Rabi,Bhadradri Kothagudem,Aswapuram,Red Gram,5,0
2018-2019,Rabi,Bhadradri Kothagudem,Karakagudem,Red Gram,12,0
2018-2019,Rabi,Bhadradri Kothagudem,Pinapaka,Red Gram,7,0
2018-2019,Rabi,Bhadradri Kothagudem,Dummugudem,Red Gram,9,0
2018-2019,Rabi,Bhadradri Kothagudem,Bhadrachalam,Red Gram,1,0
2018-2019,Rabi,Bhadradri Kothagudem,Cherla,Red Gram,1,0
2018-2019,Rabi,Bhadradri Kothagudem,Yellandu,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Allapalli,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Gundala,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Tekulapally,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Kothagudem,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Sujathanagar,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Chunchupalli,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Laxmidevipalli,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Julurpadu,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Chandrugonda,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Annapureddipalli,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Dammapet,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Aswaraopet,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Mulkalapally,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Palwancha,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Burgampadu,Bengal Gram,15,0
2018-2019,Rabi,Bhadradri Kothagudem,Manuguru,Bengal Gram,1,0
2018-2019,Rabi,Bhadradri Kothagudem,Aswapuram,Bengal Gram,1,0
2018-2019,Rabi,Bhadradri Kothagudem,Karakagudem,Bengal Gram,1,0
2018-2019,Rabi,Bhadradri Kothagudem,Pinapaka,Bengal Gram,2,0
2018-2019,Rabi,Bhadradri Kothagudem,Dummugudem,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Bhadrachalam,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Cherla,Bengal Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Yellandu,Horse Gram,0,2
2018-2019,Rabi,Bhadradri Kothagudem,Allapalli,Horse Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Gundala,Horse Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Tekulapally,Horse Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Kothagudem,Horse Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Sujathanagar,Horse Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Chunchupalli,Horse Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Laxmidevipalli,Horse Gram,0,5
2018-2019,Rabi,Bhadradri Kothagudem,Julurpadu,Horse Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Chandrugonda,Horse Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Annapureddipalli,Horse Gram,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Dammapet,Horse Gram,0,14
2018-2019,Rabi,Bhadradri Kothagudem,Aswaraopet,Horse Gram,0,10
2018-2019,Rabi,Bhadradri Kothagudem,Mulkalapally,Horse Gram,0,10
