year,season,district_name,mandal_name,crop,actual_area,normal_area
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Black Gram,0,6
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Red Gram,0,0
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Red Gram,0,0
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Red Gram,0,5
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Red Gram,0,0
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Red Gram,0,0
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Red Gram,0,0
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Red Gram,,0
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Red Gram,0,0
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Red Gram,42,2
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Red Gram,0,5
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Red Gram,0,0
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Red Gram,0,1
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Cow Gram,4,0
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Cow Gram,0,0
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Cow Gram,176,92
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Cow Gram,19,12
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Cow Gram,0,0
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Cow Gram,0,0
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Cow Gram,,0
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Cow Gram,,33
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Cow Gram,0,0
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Cow Gram,0,0
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Cow Gram,0,0
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Cow Gram,0,0
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Ajwam (Vamu),0,0
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Ajwam (Vamu),0,0
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Ajwam (Vamu),1,3
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Ajwam (Vamu),15,191
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Ajwam (Vamu),0,0
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Ajwam (Vamu),0,0
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Ajwam (Vamu),30,149
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Ajwam (Vamu),,2
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Ajwam (Vamu),0,0
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Ajwam (Vamu),0,0
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Ajwam (Vamu),0,3
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Ajwam (Vamu),0,0
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Sugarcane,0,0
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Sugarcane,18,15
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Sugarcane,107,25
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Sugarcane,0,10
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Sugarcane,0,4
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Sugarcane,8,29
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Sugarcane,,6
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Sugarcane,,97
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Sugarcane,0,27
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Sugarcane,0,9
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Sugarcane,3,4
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Sugarcane,0,95
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Onions,54,26
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Onions,0,4
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Onions,10,10
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Onions,13,37
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Onions,40,54
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Onions,0,6
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Onions,,0
