year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-19,Rabi,Jangaon,Lingala Ghanpur,Chillies,90,
2018-19,Rabi,Jangaon,Palakurthi,Chillies,0,
2018-19,Rabi,Jangaon,Devaruppula,Chillies,2,
2018-19,Rabi,Jangaon,Kodakondla,Chillies,35,
2018-19,Rabi,Jangaon,Gundala,Chillies,30,
2018-19,Rabi,Jangaon,Jangaon,Groundnut,5,4
2018-19,Rabi,Jangaon,Bachannpeta,Groundnut,23,0
2018-19,Rabi,Jangaon,Narmetta,Groundnut,49,8
2018-19,Rabi,Jangaon,Tharigopulla,Groundnut,8,13.2
2018-19,Rabi,Jangaon,Station Ghanpur,Groundnut,285,65.2
2018-19,Rabi,Jangaon,Chilpur,Groundnut,24,7.68
2018-19,Rabi,Jangaon,Raghunathpally,Groundnut,90,33.2
2018-19,Rabi,Jangaon,Zaffergadh,Groundnut,127,46.8
2018-19,Rabi,Jangaon,Lingala Ghanpur,Groundnut,48,20.4
2018-19,Rabi,Jangaon,Palakurthi,Groundnut,1154,650
2018-19,Rabi,Jangaon,Devaruppula,Groundnut,1357,240
2018-19,Rabi,Jangaon,Kodakondla,Groundnut,965,205
2018-19,Rabi,Jangaon,Gundala,Groundnut,76,14
2018-19,Rabi,Jangaon,Jangaon,Seasumam,0,
2018-19,Rabi,Jangaon,Bachannpeta,Seasumam,0,
2018-19,Rabi,Jangaon,Narmetta,Seasumam,4,
2018-19,Rabi,Jangaon,Tharigopulla,Seasumam,1,
2018-19,Rabi,Jangaon,Station Ghanpur,Seasumam,7,
2018-19,Rabi,Jangaon,Chilpur,Seasumam,3,
2018-19,Rabi,Jangaon,Raghunathpally,Seasumam,0,
2018-19,Rabi,Jangaon,Zaffergadh,Seasumam,0,
2018-19,Rabi,Jangaon,Lingala Ghanpur,Seasumam,0,
2018-19,Rabi,Jangaon,Palakurthi,Seasumam,3,
2018-19,Rabi,Jangaon,Devaruppula,Seasumam,0,
2018-19,Rabi,Jangaon,Kodakondla,Seasumam,0,
2018-19,Rabi,Jangaon,Gundala,Seasumam,1,
2018-19,Rabi,Jangaon,Jangaon,Bengal Gram,16,18
2018-19,Rabi,Jangaon,Bachannpeta,Bengal Gram,36,15
2018-19,Rabi,Jangaon,Narmetta,Bengal Gram,64,34
2018-19,Rabi,Jangaon,Tharigopulla,Bengal Gram,10,36
2018-19,Rabi,Jangaon,Station Ghanpur,Bengal Gram,23,64
2018-19,Rabi,Jangaon,Chilpur,Bengal Gram,8,6.8
2018-19,Rabi,Jangaon,Raghunathpally,Bengal Gram,9,14
2018-19,Rabi,Jangaon,Zaffergadh,Bengal Gram,52,18.4
2018-19,Rabi,Jangaon,Lingala Ghanpur,Bengal Gram,4,29.6
2018-19,Rabi,Jangaon,Palakurthi,Bengal Gram,11,
2018-19,Rabi,Jangaon,Devaruppula,Bengal Gram,0,
