year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Suryapet,Jajireddygudem,Chilles,74,0
2018-2019,Kharif,Suryapet,Suryapeta,Chilles,30,0
2018-2019,Kharif,Suryapet,Athmakur ,Chilles,53,46
2018-2019,Kharif,Suryapet,Mothey,Chilles,635,245
2018-2019,Kharif,Suryapet,Chivemla,Chilles,72,25
2018-2019,Kharif,Suryapet,Penpahad,Chilles,25,1
2018-2019,Kharif,Suryapet,Garidepally,Chilles,,0
2018-2019,Kharif,Suryapet,Nereducharla,Chilles,4,4
2018-2019,Kharif,Suryapet,Palakeedu,Chilles,13,0
2018-2019,Kharif,Suryapet,Munagala,Chilles,39,0
2018-2019,Kharif,Suryapet,Nadigudem,Chilles,50,49
2018-2019,Kharif,Suryapet,Kodad,Chilles,30,12
2018-2019,Kharif,Suryapet,Chilkur,Chilles,4,0
2018-2019,Kharif,Suryapet,Mattampally,Chilles,436,365
2018-2019,Kharif,Suryapet,Huzurnagar,Chilles,,0
2018-2019,Kharif,Suryapet,Mellachervu,Chilles,676,574
2018-2019,Kharif,Suryapet,Ananthagiri,Chilles,11,5
2018-2019,Kharif,Suryapet,Chinthalapalem,Chilles,1222,2812
2018-2019,Kharif,Suryapet,Nagaram,Sugarcane,0,0
2018-2019,Kharif,Suryapet,Tirumalagiri,Sugarcane,0,0
2018-2019,Kharif,Suryapet,Thungathurthi,Sugarcane,0,0
2018-2019,Kharif,Suryapet,Maddirala,Sugarcane,0,0
2018-2019,Kharif,Suryapet,Nuthankal,Sugarcane,0,0
2018-2019,Kharif,Suryapet,Jajireddygudem,Sugarcane,0,0
2018-2019,Kharif,Suryapet,Suryapeta,Sugarcane,0,0
2018-2019,Kharif,Suryapet,Athmakur ,Sugarcane,1,0
2018-2019,Kharif,Suryapet,Mothey,Sugarcane,3,0
2018-2019,Kharif,Suryapet,Chivemla,Sugarcane,0,0
2018-2019,Kharif,Suryapet,Penpahad,Sugarcane,8,0
2018-2019,Kharif,Suryapet,Garidepally,Sugarcane,1,0
2018-2019,Kharif,Suryapet,Nereducharla,Sugarcane,2,0
2018-2019,Kharif,Suryapet,Palakeedu,Sugarcane,0,0
2018-2019,Kharif,Suryapet,Munagala,Sugarcane,0,1
2018-2019,Kharif,Suryapet,Nadigudem,Sugarcane,113,70
2018-2019,Kharif,Suryapet,Kodad,Sugarcane,49,42
2018-2019,Kharif,Suryapet,Chilkur,Sugarcane,11,0
2018-2019,Kharif,Suryapet,Mattampally,Sugarcane,3,2
2018-2019,Kharif,Suryapet,Huzurnagar,Sugarcane,10,2
2018-2019,Kharif,Suryapet,Mellachervu,Sugarcane,6,6
2018-2019,Kharif,Suryapet,Ananthagiri,Sugarcane,385,280
2018-2019,Kharif,Suryapet,Chinthalapalem,Sugarcane,2,8
2018-2019,Kharif,Suryapet,Nagaram,Cotton,2745,3634
2018-2019,Kharif,Suryapet,Tirumalagiri,Cotton,2181,2256
2018-2019,Kharif,Suryapet,Thungathurthi,Cotton,1256,2396
2018-2019,Kharif,Suryapet,Maddirala,Cotton,1809,3051
2018-2019,Kharif,Suryapet,Nuthankal,Cotton,2870,3491
2018-2019,Kharif,Suryapet,Jajireddygudem,Cotton,1437,1526
2018-2019,Kharif,Suryapet,Suryapeta,Cotton,2542,2681
2018-2019,Kharif,Suryapet,Athmakur ,Cotton,3423,5498
2018-2019,Kharif,Suryapet,Mothey,Cotton,3062,3740
2018-2019,Kharif,Suryapet,Chivemla,Cotton,1328,3428
2018-2019,Kharif,Suryapet,Penpahad,Cotton,3126,3010
2018-2019,Kharif,Suryapet,Garidepally,Cotton,50,25
2018-2019,Kharif,Suryapet,Nereducharla,Cotton,83,262
2018-2019,Kharif,Suryapet,Palakeedu,Cotton,796,465
2018-2019,Kharif,Suryapet,Munagala,Cotton,2530,2450
2018-2019,Kharif,Suryapet,Nadigudem,Cotton,1257,1220
2018-2019,Kharif,Suryapet,Kodad,Cotton,111,113
2018-2019,Kharif,Suryapet,Chilkur,Cotton,,0
2018-2019,Kharif,Suryapet,Mattampally,Cotton,1433,1480
2018-2019,Kharif,Suryapet,Huzurnagar,Cotton,1,2
2018-2019,Kharif,Suryapet,Mellachervu,Cotton,3366,3423
2018-2019,Kharif,Suryapet,Ananthagiri,Cotton,71,37
2018-2019,Kharif,Suryapet,Chinthalapalem,Cotton,3919,3341
2018-2019,Kharif,Suryapet,Nagaram,Groundnut,36,0
2018-2019,Kharif,Suryapet,Tirumalagiri,Groundnut,28,0
2018-2019,Kharif,Suryapet,Thungathurthi,Groundnut,142,5
2018-2019,Kharif,Suryapet,Maddirala,Groundnut,266,25
2018-2019,Kharif,Suryapet,Nuthankal,Groundnut,330,174
2018-2019,Kharif,Suryapet,Jajireddygudem,Groundnut,191,143
2018-2019,Kharif,Suryapet,Suryapeta,Groundnut,74,15
2018-2019,Kharif,Suryapet,Athmakur ,Groundnut,216,123
2018-2019,Kharif,Suryapet,Mothey,Groundnut,459,295
2018-2019,Kharif,Suryapet,Chivemla,Groundnut,305,87
2018-2019,Kharif,Suryapet,Penpahad,Groundnut,328,121
2018-2019,Kharif,Suryapet,Garidepally,Groundnut,21,5
2018-2019,Kharif,Suryapet,Nereducharla,Groundnut,0,2
2018-2019,Kharif,Suryapet,Palakeedu,Groundnut,0,0
2018-2019,Kharif,Suryapet,Munagala,Groundnut,76,10
2018-2019,Kharif,Suryapet,Nadigudem,Groundnut,10,0
2018-2019,Kharif,Suryapet,Kodad,Groundnut,0,0
2018-2019,Kharif,Suryapet,Chilkur,Groundnut,0,0
2018-2019,Kharif,Suryapet,Mattampally,Groundnut,6,2
2018-2019,Kharif,Suryapet,Huzurnagar,Groundnut,13,0
2018-2019,Kharif,Suryapet,Mellachervu,Groundnut,0,0
2018-2019,Kharif,Suryapet,Ananthagiri,Groundnut,1,0
2018-2019,Kharif,Suryapet,Chinthalapalem,Groundnut,0,3
2018-2019,Kharif,Suryapet,Nagaram,Palm Oil,0,0
2018-2019,Kharif,Suryapet,Tirumalagiri,Palm Oil,0,0
2018-2019,Kharif,Suryapet,Thungathurthi,Palm Oil,0,0
2018-2019,Kharif,Suryapet,Maddirala,Palm Oil,0,0
2018-2019,Kharif,Suryapet,Nuthankal,Palm Oil,0,0
2018-2019,Kharif,Suryapet,Jajireddygudem,Palm Oil,0,0
2018-2019,Kharif,Suryapet,Suryapeta,Palm Oil,0,0
2018-2019,Kharif,Suryapet,Athmakur ,Palm Oil,0,0
2018-2019,Kharif,Suryapet,Mothey,Palm Oil,0,0
2018-2019,Kharif,Suryapet,Chivemla,Palm Oil,0,0
2018-2019,Kharif,Suryapet,Penpahad,Palm Oil,0,0
2018-2019,Kharif,Suryapet,Garidepally,Palm Oil,0,0
2018-2019,Kharif,Suryapet,Nereducharla,Palm Oil,0,0
2018-2019,Kharif,Suryapet,Palakeedu,Palm Oil,0,0
2018-2019,Kharif,Suryapet,Munagala,Palm Oil,,9
2018-2019,Kharif,Suryapet,Nadigudem,Palm Oil,,10
2018-2019,Kharif,Suryapet,Kodad,Palm Oil,24,52
2018-2019,Kharif,Suryapet,Chilkur,Palm Oil,,0
2018-2019,Kharif,Suryapet,Mattampally,Palm Oil,,0
2018-2019,Kharif,Suryapet,Huzurnagar,Palm Oil,,8
2018-2019,Kharif,Suryapet,Mellachervu,Palm Oil,,0
2018-2019,Kharif,Suryapet,Ananthagiri,Palm Oil,15,6
2018-2019,Kharif,Suryapet,Chinthalapalem,Palm Oil,4,22
2018-2019,Kharif,Suryapet,Nagaram,Other Non Food Crops,0,0
2018-2019,Kharif,Suryapet,Tirumalagiri,Other Non Food Crops,0,0
2018-2019,Kharif,Suryapet,Thungathurthi,Other Non Food Crops,0,0
2018-2019,Kharif,Suryapet,Maddirala,Other Non Food Crops,0,0
2018-2019,Kharif,Suryapet,Nuthankal,Other Non Food Crops,54,0
2018-2019,Kharif,Suryapet,Jajireddygudem,Other Non Food Crops,0,0
2018-2019,Kharif,Suryapet,Suryapeta,Other Non Food Crops,0,0
2018-2019,Kharif,Suryapet,Athmakur ,Other Non Food Crops,20,0
2018-2019,Kharif,Suryapet,Mothey,Other Non Food Crops,8,0
2018-2019,Kharif,Suryapet,Chivemla,Other Non Food Crops,0,0
2018-2019,Kharif,Suryapet,Penpahad,Other Non Food Crops,0,0
2018-2019,Kharif,Suryapet,Garidepally,Other Non Food Crops,0,0
2018-2019,Kharif,Suryapet,Nereducharla,Other Non Food Crops,0,0
2018-2019,Kharif,Suryapet,Palakeedu,Other Non Food Crops,0,0
2018-2019,Kharif,Suryapet,Munagala,Other Non Food Crops,10,0
2018-2019,Kharif,Suryapet,Nadigudem,Other Non Food Crops,,0
2018-2019,Kharif,Suryapet,Kodad,Other Non Food Crops,246,0
2018-2019,Kharif,Suryapet,Chilkur,Other Non Food Crops,227,0
2018-2019,Kharif,Suryapet,Mattampally,Other Non Food Crops,52,50
2018-2019,Kharif,Suryapet,Huzurnagar,Other Non Food Crops,31,50
2018-2019,Kharif,Suryapet,Mellachervu,Other Non Food Crops,83,0
2018-2019,Kharif,Suryapet,Ananthagiri,Other Non Food Crops,249,0
2018-2019,Kharif,Suryapet,Chinthalapalem,Other Non Food Crops,10,0
2018-2019,Kharif,Suryapet,Nagaram,Sesamum,10,0
2018-2019,Kharif,Suryapet,Tirumalagiri,Sesamum,44,7
2018-2019,Kharif,Suryapet,Thungathurthi,Sesamum,18,0
2018-2019,Kharif,Suryapet,Maddirala,Sesamum,3,0
2018-2019,Kharif,Suryapet,Nuthankal,Sesamum,4,0
2018-2019,Kharif,Suryapet,Jajireddygudem,Sesamum,,0
2018-2019,Kharif,Suryapet,Suryapeta,Sesamum,,0
2018-2019,Kharif,Suryapet,Athmakur ,Sesamum,,0
2018-2019,Kharif,Suryapet,Mothey,Sesamum,,0
2018-2019,Kharif,Suryapet,Chivemla,Sesamum,,0
2018-2019,Kharif,Suryapet,Penpahad,Sesamum,,0
2018-2019,Kharif,Suryapet,Garidepally,Sesamum,,0
2018-2019,Kharif,Suryapet,Nereducharla,Sesamum,,0
2018-2019,Kharif,Suryapet,Palakeedu,Sesamum,,0
2018-2019,Kharif,Suryapet,Munagala,Sesamum,0,0
2018-2019,Kharif,Suryapet,Nadigudem,Sesamum,0,0
2018-2019,Kharif,Suryapet,Kodad,Sesamum,0,0
2018-2019,Kharif,Suryapet,Chilkur,Sesamum,0,0
2018-2019,Kharif,Suryapet,Mattampally,Sesamum,0,0
2018-2019,Kharif,Suryapet,Huzurnagar,Sesamum,0,0
2018-2019,Kharif,Suryapet,Mellachervu,Sesamum,0,0
2018-2019,Kharif,Suryapet,Ananthagiri,Sesamum,0,0
2018-2019,Kharif,Suryapet,Chinthalapalem,Sesamum,0,0
2018-2019,Kharif,Suryapet,Nagaram,Total,5313,5745
2018-2019,Kharif,Suryapet,Tirumalagiri,Total,4204,3815
