year,season,districtName,mandalName,crop,normalArea,actualArea
2018-2019,Kharif,Mahabubabad,Chinnagudur,Chillies,174.6,174
2018-2019,Kharif,Mahabubabad,Dornakal,Chillies,1085.6,1254
2018-2019,Kharif,Mahabubabad,Kuravi,Chillies,2919.2,3145
2018-2019,Kharif,Mahabubabad,Narsimhulapet,Chillies,441.6,487
2018-2019,Kharif,Mahabubabad,Danthalapalle,Chillies,250.2,414
2018-2019,Kharif,Mahabubabad,Thorrur,Chillies,202.8,277
2018-2019,Kharif,Mahabubabad,Peddavangara,Chillies,74.8,219
2018-2019,Kharif,Mahabubabad,Kothaguda,Turmeric,1.2,0
2018-2019,Kharif,Mahabubabad,Gangaram,Turmeric,0,0
2018-2019,Kharif,Mahabubabad,Bayyaram,Turmeric,2.8,6
2018-2019,Kharif,Mahabubabad,Garla,Turmeric,0.8,0
2018-2019,Kharif,Mahabubabad,Mahabubabad,Turmeric,206.8,175
2018-2019,Kharif,Mahabubabad,Gudur,Turmeric,309.8,208
2018-2019,Kharif,Mahabubabad,Kesamudram,Turmeric,1865.2,1772
2018-2019,Kharif,Mahabubabad,Nellikudur,Turmeric,1195.6,1414
2018-2019,Kharif,Mahabubabad,Maripeda,Turmeric,80.6,39
2018-2019,Kharif,Mahabubabad,Chinnagudur,Turmeric,43.4,46
2018-2019,Kharif,Mahabubabad,Dornakal,Turmeric,68.8,8
2018-2019,Kharif,Mahabubabad,Kuravi,Turmeric,100.6,80
2018-2019,Kharif,Mahabubabad,Narsimhulapet,Turmeric,382.4,361
2018-2019,Kharif,Mahabubabad,Danthalapalle,Turmeric,47.2,17
2018-2019,Kharif,Mahabubabad,Thorrur,Turmeric,176.6,139
2018-2019,Kharif,Mahabubabad,Peddavangara,Turmeric,8.4,15
2018-2019,Kharif,Mahabubabad,Kothaguda,Cotton,431.4,139
2018-2019,Kharif,Mahabubabad,Gangaram,Cotton,24.2,55
2018-2019,Kharif,Mahabubabad,Bayyaram,Cotton,1126.2,596
2018-2019,Kharif,Mahabubabad,Garla,Cotton,2199.4,1867
2018-2019,Kharif,Mahabubabad,Mahabubabad,Cotton,3815.8,3457
2018-2019,Kharif,Mahabubabad,Gudur,Cotton,1976.6,1789
2018-2019,Kharif,Mahabubabad,Kesamudram,Cotton,3457.4,4031
2018-2019,Kharif,Mahabubabad,Nellikudur,Cotton,4017.4,4311
2018-2019,Kharif,Mahabubabad,Maripeda,Cotton,3597,1434
2018-2019,Kharif,Mahabubabad,Chinnagudur,Cotton,312,550
2018-2019,Kharif,Mahabubabad,Dornakal,Cotton,2723.4,1765
2018-2019,Kharif,Mahabubabad,Kuravi,Cotton,5044.6,5050
2018-2019,Kharif,Mahabubabad,Narsimhulapet,Cotton,2764.2,2340
2018-2019,Kharif,Mahabubabad,Danthalapalle,Cotton,779.8,2236
2018-2019,Kharif,Mahabubabad,Thorrur,Cotton,3855.4,4572
2018-2019,Kharif,Mahabubabad,Peddavangara,Cotton,677.6,2303
2018-2019,Kharif,Mahabubabad,Kothaguda,Groundnut,0,0
2018-2019,Kharif,Mahabubabad,Gangaram,Groundnut,0,0
2018-2019,Kharif,Mahabubabad,Bayyaram,Groundnut,0,0
2018-2019,Kharif,Mahabubabad,Garla,Groundnut,3.4,0
2018-2019,Kharif,Mahabubabad,Mahabubabad,Groundnut,1.2,0
2018-2019,Kharif,Mahabubabad,Gudur,Groundnut,23.4,4
2018-2019,Kharif,Mahabubabad,Kesamudram,Groundnut,12.4,12
2018-2019,Kharif,Mahabubabad,Nellikudur,Groundnut,16.8,4
2018-2019,Kharif,Mahabubabad,Maripeda,Groundnut,12,31
2018-2019,Kharif,Mahabubabad,Chinnagudur,Groundnut,0.2,10
2018-2019,Kharif,Mahabubabad,Dornakal,Groundnut,22.4,0
2018-2019,Kharif,Mahabubabad,Kuravi,Groundnut,0.8,0
2018-2019,Kharif,Mahabubabad,Narsimhulapet,Groundnut,78.4,22
2018-2019,Kharif,Mahabubabad,Danthalapalle,Groundnut,7,15
2018-2019,Kharif,Mahabubabad,Thorrur,Groundnut,35.8,10
2018-2019,Kharif,Mahabubabad,Peddavangara,Groundnut,9.2,21
2018-2019,Kharif,Mahabubabad,Kothaguda,Sesamum,0,0
2018-2019,Kharif,Mahabubabad,Gangaram,Sesamum,0,0
2018-2019,Kharif,Mahabubabad,Bayyaram,Sesamum,3.2,0
2018-2019,Kharif,Mahabubabad,Garla,Sesamum,0.4,0
2018-2019,Kharif,Mahabubabad,Mahabubabad,Sesamum,4.2,0
2018-2019,Kharif,Mahabubabad,Gudur,Sesamum,0,2
2018-2019,Kharif,Mahabubabad,Kesamudram,Sesamum,24,6
2018-2019,Kharif,Mahabubabad,Nellikudur,Sesamum,24,7
2018-2019,Kharif,Mahabubabad,Maripeda,Sesamum,3,0
2018-2019,Kharif,Mahabubabad,Chinnagudur,Sesamum,0,0
2018-2019,Kharif,Mahabubabad,Dornakal,Sesamum,34.4,0
2018-2019,Kharif,Mahabubabad,Kuravi,Sesamum,1.6,0
