year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Medak,Narsingi,Green Gram,0,8
2018-2019,Kharif,Medak,Shankarampet (R),Green Gram,1,14
2018-2019,Kharif,Medak,Medak,Green Gram,18,20
2018-2019,Kharif,Medak,Kulcharam,Green Gram,33,19
2018-2019,Kharif,Medak,Chilipched,Green Gram,13,0
2018-2019,Kharif,Medak,Kowdipalle,Green Gram,59,0
2018-2019,Kharif,Medak,Narsapur,Green Gram,7,0
2018-2019,Kharif,Medak,Shivampet,Green Gram,4,0
2018-2019,Kharif,Medak,Yeldurthy,Green Gram,0,0
2018-2019,Kharif,Medak,Tupran,Green Gram,0,6
2018-2019,Kharif,Medak,Manoharabad,Green Gram,0,0
2018-2019,Kharif,Medak,Shankarampet (A),Black Gram,224,130
2018-2019,Kharif,Medak,Regode,Black Gram,522,172
2018-2019,Kharif,Medak,Alladurg,Black Gram,368,41
2018-2019,Kharif,Medak,Tekmal,Black Gram,281,2
2018-2019,Kharif,Medak,Papannapet,Black Gram,56,33
2018-2019,Kharif,Medak,Havelighanpur,Black Gram,10,0
2018-2019,Kharif,Medak,Ramayampet,Black Gram,4,0
2018-2019,Kharif,Medak,Nizampet,Black Gram,0,0
2018-2019,Kharif,Medak,Chegunta,Black Gram,0,3
2018-2019,Kharif,Medak,Narsingi,Black Gram,0,8
2018-2019,Kharif,Medak,Shankarampet (R),Black Gram,1,9
2018-2019,Kharif,Medak,Medak,Black Gram,17,15
2018-2019,Kharif,Medak,Kulcharam,Black Gram,35,8
2018-2019,Kharif,Medak,Chilipched,Black Gram,10,0
2018-2019,Kharif,Medak,Kowdipalle,Black Gram,46,0
2018-2019,Kharif,Medak,Narsapur,Black Gram,3,0
2018-2019,Kharif,Medak,Shivampet,Black Gram,0,0
2018-2019,Kharif,Medak,Yeldurthy,Black Gram,0,0
2018-2019,Kharif,Medak,Tupran,Black Gram,0,0
2018-2019,Kharif,Medak,Manoharabad,Black Gram,0,0
2018-2019,Kharif,Medak,Shankarampet (A),Red Gram,267,115
2018-2019,Kharif,Medak,Regode,Red Gram,575,199
2018-2019,Kharif,Medak,Alladurg,Red Gram,607,107
