year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Green Gram,201,1
2018-2019,Rabi,Kumuram Bheem,Bejjur,Green Gram,132,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Green Gram,49,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Green Gram,158,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Wankidi,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Black Gram,11,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Black Gram,11,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Black Gram,2,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Black Gram,8,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Black Gram,1,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Red Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Red Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Red Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Red Gram,9,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Red Gram,16,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Red Gram,12,6
2018-2019,Rabi,Kumuram Bheem,Kerameri,Red Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Wankidi,Red Gram,93,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Red Gram,58,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Red Gram,32,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Red Gram,14,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Red Gram,2,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Red Gram,84,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Red Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Red Gram,4,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Bengal Gram,129,209.97
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Bengal Gram,386,310
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Bengal Gram,63,270
2018-2019,Rabi,Kumuram Bheem,Tiryani,Bengal Gram,112,176
2018-2019,Rabi,Kumuram Bheem,Rebbena,Bengal Gram,148,158.8
2018-2019,Rabi,Kumuram Bheem,Asifabad,Bengal Gram,24,17
2018-2019,Rabi,Kumuram Bheem,Kerameri,Bengal Gram,67,3
2018-2019,Rabi,Kumuram Bheem,Wankidi,Bengal Gram,36,2
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Bengal Gram,33,75.4
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Bengal Gram,93,80.4
2018-2019,Rabi,Kumuram Bheem,Kouthala,Bengal Gram,163,210
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Bengal Gram,228,110
2018-2019,Rabi,Kumuram Bheem,Bejjur,Bengal Gram,198,145
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Bengal Gram,206,165
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Bengal Gram,124,95
2018-2019,Rabi,Kumuram Bheem,Jainoor,Cow Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Cow Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Cow Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Cow Gram,0,15
2018-2019,Rabi,Kumuram Bheem,Rebbena,Cow Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Cow Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Cow Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Wankidi,Cow Gram,0,1
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Cow Gram,4,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Cow Gram,11,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Cow Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Cow Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Cow Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Cow Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Cow Gram,3,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Anumulu,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Anumulu,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Anumulu,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Anumulu,0,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Anumulu,0,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Anumulu,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Anumulu,0,0
2018-2019,Rabi,Kumuram Bheem,Wankidi,Anumulu,0,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Anumulu,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Anumulu,2,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Anumulu,0,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Anumulu,0,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Anumulu,0,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Anumulu,0,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Anumulu,0,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Green Chillies,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Green Chillies,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Green Chillies,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Green Chillies,0,12
2018-2019,Rabi,Kumuram Bheem,Rebbena,Green Chillies,0,30
2018-2019,Rabi,Kumuram Bheem,Asifabad,Green Chillies,0,2
2018-2019,Rabi,Kumuram Bheem,Kerameri,Green Chillies,0,4
2018-2019,Rabi,Kumuram Bheem,Wankidi,Green Chillies,0,1
