year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Rabi,Kamareddy,Rajampet,Maize,980,52
2018-2019,Rabi,Kamareddy,Bhiknur,Maize,1651,256
2018-2019,Rabi,Kamareddy,Kamareddy,Maize,435,84
2018-2019,Rabi,Kamareddy,Ramareddy,Maize,151,377
2018-2019,Rabi,Kamareddy,Machareddy,Maize,645,29
2018-2019,Rabi,Kamareddy,Domakonda,Maize,632.178981937603,45
2018-2019,Rabi,Kamareddy,Bibipet,Maize,248.821018062397,62
2018-2019,Rabi,Kamareddy,Madnur,Green Gram,0,0
2018-2019,Rabi,Kamareddy,Jukkal,Green Gram,0,0
2018-2019,Rabi,Kamareddy,Pedda kodapgal,Green Gram,0,0
2018-2019,Rabi,Kamareddy,Bichkunda,Green Gram,0,0
2018-2019,Rabi,Kamareddy,Birkoor,Green Gram,14,0
2018-2019,Rabi,Kamareddy,Nasurullabad,Green Gram,0,0
2018-2019,Rabi,Kamareddy,Banswada,Green Gram,40,0
2018-2019,Rabi,Kamareddy,Pitlam,Green Gram,0,0
2018-2019,Rabi,Kamareddy,Nizamsagar,Green Gram,23,0
2018-2019,Rabi,Kamareddy,Naga_reddipet,Green Gram,2,0
2018-2019,Rabi,Kamareddy,Yellareddy,Green Gram,34,9
2018-2019,Rabi,Kamareddy,Lingampet,Green Gram,8,10
2018-2019,Rabi,Kamareddy,Gandhari,Green Gram,13,0
2018-2019,Rabi,Kamareddy,Sadasivanagar,Green Gram,1,16
2018-2019,Rabi,Kamareddy,Tadwai,Green Gram,0,0
2018-2019,Rabi,Kamareddy,Rajampet,Green Gram,0,
2018-2019,Rabi,Kamareddy,Bhiknur,Green Gram,0,
2018-2019,Rabi,Kamareddy,Kamareddy,Green Gram,2,
2018-2019,Rabi,Kamareddy,Ramareddy,Green Gram,4,
2018-2019,Rabi,Kamareddy,Machareddy,Green Gram,8,
2018-2019,Rabi,Kamareddy,Domakonda,Green Gram,0,
