year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Siddipet,Siddipet Urban,Red Gram,294.624,336
2018-2019,Kharif,Siddipet,Thoguta,Red Gram,185.504,182.8
2018-2019,Kharif,Siddipet,Mirdoddi,Red Gram,90.272,172.8
2018-2019,Kharif,Siddipet,Doulthabad,Red Gram,78.368,166.8
2018-2019,Kharif,Siddipet,Raypole,Red Gram,496,410
2018-2019,Kharif,Siddipet,Wargal,Red Gram,106.144,179.2
2018-2019,Kharif,Siddipet,Mulugu,Red Gram,87.296,108.4
2018-2019,Kharif,Siddipet,Markook,Red Gram,84.32,97.2
2018-2019,Kharif,Siddipet,Jagdevpur,Red Gram,214.272,186
2018-2019,Kharif,Siddipet,Gajwel,Red Gram,278.752,304.4
2018-2019,Kharif,Siddipet,Kondapak,Red Gram,451.36,409.6
2018-2019,Kharif,Siddipet,Komuravelly,Red Gram,196.416,204.4
2018-2019,Kharif,Siddipet,Cherial,Red Gram,607.104,585.2
2018-2019,Kharif,Siddipet,Maddur,Red Gram,319.424,324.8
2018-2019,Kharif,Siddipet,Dubbak,Green Gram,42.656,96.4
2018-2019,Kharif,Siddipet,Siddipet Rural,Green Gram,149.792,84
2018-2019,Kharif,Siddipet,Chinnakodur,Green Gram,38.688,15.2
2018-2019,Kharif,Siddipet,Bejjanki,Green Gram,57.536,16.4
2018-2019,Kharif,Siddipet,Koheda,Green Gram,145.824,31.2
2018-2019,Kharif,Siddipet,Husnabad,Green Gram,30.752,2
2018-2019,Kharif,Siddipet,Akkannapet,Green Gram,28.768,21.6
2018-2019,Kharif,Siddipet,Nanganoor,Green Gram,54.56,56.4
2018-2019,Kharif,Siddipet,Siddipet Urban,Green Gram,64.48,80.4
2018-2019,Kharif,Siddipet,Thoguta,Green Gram,19.84,7.2
2018-2019,Kharif,Siddipet,Mirdoddi,Green Gram,9.92,0
2018-2019,Kharif,Siddipet,Doulthabad,Green Gram,0,6
2018-2019,Kharif,Siddipet,Raypole,Green Gram,0,0
2018-2019,Kharif,Siddipet,Wargal,Green Gram,1.984,2.4
2018-2019,Kharif,Siddipet,Mulugu,Green Gram,3.968,4.4
2018-2019,Kharif,Siddipet,Markook,Green Gram,0,2.4
2018-2019,Kharif,Siddipet,Jagdevpur,Green Gram,17.856,18.4
2018-2019,Kharif,Siddipet,Gajwel,Green Gram,0,3.2
2018-2019,Kharif,Siddipet,Kondapak,Green Gram,47.616,4.8
2018-2019,Kharif,Siddipet,Komuravelly,Green Gram,0,0
2018-2019,Kharif,Siddipet,Cherial,Green Gram,0,61.6
2018-2019,Kharif,Siddipet,Maddur,Green Gram,0,0
2018-2019,Kharif,Siddipet,Dubbak,Black Gram,0,0
2018-2019,Kharif,Siddipet,Siddipet Rural,Black Gram,0,0
2018-2019,Kharif,Siddipet,Chinnakodur,Black Gram,0,0
2018-2019,Kharif,Siddipet,Bejjanki,Black Gram,0,6.4
2018-2019,Kharif,Siddipet,Koheda,Black Gram,0.992,35.2
2018-2019,Kharif,Siddipet,Husnabad,Black Gram,0.992,2
2018-2019,Kharif,Siddipet,Akkannapet,Black Gram,0.992,23.2
2018-2019,Kharif,Siddipet,Nanganoor,Black Gram,0,0
2018-2019,Kharif,Siddipet,Siddipet Urban,Black Gram,0,0
2018-2019,Kharif,Siddipet,Thoguta,Black Gram,0,0
2018-2019,Kharif,Siddipet,Mirdoddi,Black Gram,0,0
2018-2019,Kharif,Siddipet,Doulthabad,Black Gram,0,0
2018-2019,Kharif,Siddipet,Raypole,Black Gram,0,0
2018-2019,Kharif,Siddipet,Wargal,Black Gram,11.904,8.8
2018-2019,Kharif,Siddipet,Mulugu,Black Gram,0,0
2018-2019,Kharif,Siddipet,Markook,Black Gram,0,0.8
2018-2019,Kharif,Siddipet,Jagdevpur,Black Gram,0,0
2018-2019,Kharif,Siddipet,Gajwel,Black Gram,0,1.2
2018-2019,Kharif,Siddipet,Kondapak,Black Gram,8.928,16.8
2018-2019,Kharif,Siddipet,Komuravelly,Black Gram,0,0
2018-2019,Kharif,Siddipet,Cherial,Black Gram,0,24.8
2018-2019,Kharif,Siddipet,Maddur,Black Gram,0,0
2018-2019,Kharif,Siddipet,Dubbak,Soyabean,24,0
2018-2019,Kharif,Siddipet,Siddipet Rural,Soyabean,0,0
