year,season,district_name,mandal_name,crop,normal_area,actual_area
2018,Kharif,Jagtial,Pegadapalli,Other Pulses (Cowpea & Anumulu),0,0
2018,Kharif,Jagtial,Velgatur,Other Pulses (Cowpea & Anumulu),0,0
2018,Kharif,Jagtial,Korutla,Other Pulses (Cowpea & Anumulu),10,8
2018,Kharif,Jagtial,Metpalli,Other Pulses (Cowpea & Anumulu),0,7
2018,Kharif,Jagtial,Ibrahimpatnam,Other Pulses (Cowpea & Anumulu),0,0
2018,Kharif,Jagtial,Mallapur,Other Pulses (Cowpea & Anumulu),15,12
2018,Kharif,Jagtial,Kathalapur,Other Pulses (Cowpea & Anumulu),0,0
2018,Kharif,Jagtial,Jagtial U,Turmeric,543,128
2018,Kharif,Jagtial,Jagtial R,Turmeric,1159,684
2018,Kharif,Jagtial,Sarangapur,Turmeric,201,50
2018,Kharif,Jagtial,Beerpur,Turmeric,176,177
2018,Kharif,Jagtial,Raikal,Turmeric,1152,762
2018,Kharif,Jagtial,Mallial,Turmeric,0,357
2018,Kharif,Jagtial,Kodimial,Turmeric,0,0
2018,Kharif,Jagtial,Medipalli,Turmeric,1164,1008
2018,Kharif,Jagtial,Dharmapuri,Turmeric,0,126
2018,Kharif,Jagtial,Buggaram,Turmeric,0,148
2018,Kharif,Jagtial,Gollapally,Turmeric,0,62
2018,Kharif,Jagtial,Pegadapalli,Turmeric,0,55
2018,Kharif,Jagtial,Velgatur,Turmeric,0,264
2018,Kharif,Jagtial,Korutla,Turmeric,1222,1498
2018,Kharif,Jagtial,Metpalli,Turmeric,2130,2813
2018,Kharif,Jagtial,Ibrahimpatnam,Turmeric,1962,1851
2018,Kharif,Jagtial,Mallapur,Turmeric,1725,2166
2018,Kharif,Jagtial,Kathalapur,Turmeric,1329,1101
2018,Kharif,Jagtial,Jagtial U,"Sugar
cane",0,0
2018,Kharif,Jagtial,Jagtial R,"Sugar
cane",0,0
2018,Kharif,Jagtial,Sarangapur,"Sugar
cane",4,0
2018,Kharif,Jagtial,Beerpur,"Sugar
cane",0,0
2018,Kharif,Jagtial,Raikal,"Sugar
cane",12,0
2018,Kharif,Jagtial,Mallial,"Sugar
cane",0,0
2018,Kharif,Jagtial,Kodimial,"Sugar
cane",0,0
2018,Kharif,Jagtial,Medipalli,"Sugar
cane",112,0
2018,Kharif,Jagtial,Dharmapuri,"Sugar
cane",0,0
2018,Kharif,Jagtial,Buggaram,"Sugar
cane",0,0
2018,Kharif,Jagtial,Gollapally,"Sugar
cane",0,0
2018,Kharif,Jagtial,Pegadapalli,"Sugar
cane",0,0
2018,Kharif,Jagtial,Velgatur,"Sugar
cane",0,0
2018,Kharif,Jagtial,Korutla,"Sugar
cane",112,64
2018,Kharif,Jagtial,Metpalli,"Sugar
cane",62,0
2018,Kharif,Jagtial,Ibrahimpatnam,"Sugar
cane",68,0
2018,Kharif,Jagtial,Mallapur,"Sugar
cane",343,0
2018,Kharif,Jagtial,Kathalapur,"Sugar
cane",10,0
2018,Kharif,Jagtial,Jagtial U,"Soya
bean",120,26
2018,Kharif,Jagtial,Jagtial R,"Soya
bean",157,87
2018,Kharif,Jagtial,Sarangapur,"Soya
bean",155,98
2018,Kharif,Jagtial,Beerpur,"Soya
bean",172,0
2018,Kharif,Jagtial,Raikal,"Soya
bean",1468,107
2018,Kharif,Jagtial,Mallial,"Soya
bean",72,0
2018,Kharif,Jagtial,Kodimial,"Soya
bean",6,0
2018,Kharif,Jagtial,Medipalli,"Soya
bean",325,35
2018,Kharif,Jagtial,Dharmapuri,"Soya
bean",162,0
2018,Kharif,Jagtial,Buggaram,"Soya
bean",178,0
2018,Kharif,Jagtial,Gollapally,"Soya
bean",66,0
2018,Kharif,Jagtial,Pegadapalli,"Soya
bean",85,0
2018,Kharif,Jagtial,Velgatur,"Soya
bean",25,0
2018,Kharif,Jagtial,Korutla,"Soya
bean",1510,377
2018,Kharif,Jagtial,Metpalli,"Soya
bean",1866,170
2018,Kharif,Jagtial,Ibrahimpatnam,"Soya
bean",1968,280
2018,Kharif,Jagtial,Mallapur,"Soya
bean",1458,260
2018,Kharif,Jagtial,Kathalapur,"Soya
bean",436,50
2018,Kharif,Jagtial,Jagtial U,Cotton,55,18
2018,Kharif,Jagtial,Jagtial R,Cotton,112,79.2
2018,Kharif,Jagtial,Sarangapur,Cotton,250,120
2018,Kharif,Jagtial,Beerpur,Cotton,428,502
2018,Kharif,Jagtial,Raikal,Cotton,220,190
2018,Kharif,Jagtial,Mallial,Cotton,758,568
2018,Kharif,Jagtial,Kodimial,Cotton,4328,2020
2018,Kharif,Jagtial,Medipalli,Cotton,160,192
2018,Kharif,Jagtial,Dharmapuri,Cotton,489,212
2018,Kharif,Jagtial,Buggaram,Cotton,688,106
2018,Kharif,Jagtial,Gollapally,Cotton,672,720
2018,Kharif,Jagtial,Pegadapalli,Cotton,1519,870
2018,Kharif,Jagtial,Velgatur,Cotton,2928,2480
2018,Kharif,Jagtial,Korutla,Cotton,0,0
2018,Kharif,Jagtial,Metpalli,Cotton,0,0
2018,Kharif,Jagtial,Ibrahimpatnam,Cotton,0,0
2018,Kharif,Jagtial,Mallapur,Cotton,0,0
2018,Kharif,Jagtial,Kathalapur,Cotton,240,300
2018,Kharif,Jagtial,Jagtial U,Chillies,21,0
2018,Kharif,Jagtial,Jagtial R,Chillies,35,0
2018,Kharif,Jagtial,Sarangapur,Chillies,72,0
2018,Kharif,Jagtial,Beerpur,Chillies,75,0
2018,Kharif,Jagtial,Raikal,Chillies,307,0
2018,Kharif,Jagtial,Mallial,Chillies,0,0
2018,Kharif,Jagtial,Kodimial,Chillies,0,0
2018,Kharif,Jagtial,Medipalli,Chillies,314,0
2018,Kharif,Jagtial,Dharmapuri,Chillies,0,0
2018,Kharif,Jagtial,Buggaram,Chillies,0,0
2018,Kharif,Jagtial,Gollapally,Chillies,0,0
2018,Kharif,Jagtial,Pegadapalli,Chillies,0,0
2018,Kharif,Jagtial,Velgatur,Chillies,0,0
2018,Kharif,Jagtial,Korutla,Chillies,41,0
2018,Kharif,Jagtial,Metpalli,Chillies,96,0
2018,Kharif,Jagtial,Ibrahimpatnam,Chillies,35,0
2018,Kharif,Jagtial,Mallapur,Chillies,228,0
2018,Kharif,Jagtial,Kathalapur,Chillies,178,0
2018,Kharif,Jagtial,Jagtial U,Onion,0,0
2018,Kharif,Jagtial,Jagtial R,Onion,6,5
2018,Kharif,Jagtial,Sarangapur,Onion,0,0
2018,Kharif,Jagtial,Beerpur,Onion,0,0
2018,Kharif,Jagtial,Raikal,Onion,5,5
2018,Kharif,Jagtial,Mallial,Onion,0,0
2018,Kharif,Jagtial,Kodimial,Onion,0,0
