year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Nirmal,Kuntala,Black Gram,20.25,26
2018-2019,Kharif,Nirmal,Narsapur G,Black Gram,20.5,103
2018-2019,Kharif,Nirmal,Lokeshwaram,Black Gram,25.5,108
2018-2019,Kharif,Nirmal,Dilawarpur,Black Gram,148.6,47
2018-2019,Kharif,Nirmal,Sarangapur,Black Gram,32.75,15
2018-2019,Kharif,Nirmal,Nirmal Urban,Black Gram,245,0
2018-2019,Kharif,Nirmal,Nirmal Rural,Black Gram,824,40
2018-2019,Kharif,Nirmal,Soan,Black Gram,345.2,3
2018-2019,Kharif,Nirmal,Laxmanchanda,Black Gram,331.75,26
2018-2019,Kharif,Nirmal,Mamada,Black Gram,512.5,66
2018-2019,Kharif,Nirmal,Pembi,Black Gram,9.8,0
2018-2019,Kharif,Nirmal,Khanapur,Black Gram,23.6,7
2018-2019,Kharif,Nirmal,Kaddam peddur,Black Gram,43,0
2018-2019,Kharif,Nirmal,Dasturabad,Black Gram,2,0
2018-2019,Kharif,Nirmal,Kubeer,Green Gram,23,134
2018-2019,Kharif,Nirmal,Tanoor,Green Gram,33.25,251
2018-2019,Kharif,Nirmal,Basar,Green Gram,20,19
2018-2019,Kharif,Nirmal,Mudhole,Green Gram,123.75,76
2018-2019,Kharif,Nirmal,Bhainsa,Green Gram,274.2,83
2018-2019,Kharif,Nirmal,Kuntala,Green Gram,123.75,0
2018-2019,Kharif,Nirmal,Narsapur G,Green Gram,68.5,25
2018-2019,Kharif,Nirmal,Lokeshwaram,Green Gram,20.75,51
2018-2019,Kharif,Nirmal,Dilawarpur,Green Gram,18,20
2018-2019,Kharif,Nirmal,Sarangapur,Green Gram,111.25,10
2018-2019,Kharif,Nirmal,Nirmal Urban,Green Gram,143,0
2018-2019,Kharif,Nirmal,Nirmal Rural,Green Gram,298,41
2018-2019,Kharif,Nirmal,Soan,Green Gram,68,5
2018-2019,Kharif,Nirmal,Laxmanchanda,Green Gram,60.5,25
2018-2019,Kharif,Nirmal,Mamada,Green Gram,44,142
2018-2019,Kharif,Nirmal,Pembi,Green Gram,7,2
2018-2019,Kharif,Nirmal,Khanapur,Green Gram,25,45
2018-2019,Kharif,Nirmal,Kaddam peddur,Green Gram,41,0
2018-2019,Kharif,Nirmal,Dasturabad,Green Gram,1,18
2018-2019,Kharif,Nirmal,Kubeer,Cow Gram,0,0
2018-2019,Kharif,Nirmal,Tanoor,Cow Gram,0,0
2018-2019,Kharif,Nirmal,Basar,Cow Gram,0,0
2018-2019,Kharif,Nirmal,Mudhole,Cow Gram,8.5,0
2018-2019,Kharif,Nirmal,Bhainsa,Cow Gram,13.6,0
2018-2019,Kharif,Nirmal,Kuntala,Cow Gram,8.5,0
2018-2019,Kharif,Nirmal,Narsapur G,Cow Gram,3.75,0
2018-2019,Kharif,Nirmal,Lokeshwaram,Cow Gram,0,0
2018-2019,Kharif,Nirmal,Dilawarpur,Cow Gram,0,0
2018-2019,Kharif,Nirmal,Sarangapur,Cow Gram,0,0
2018-2019,Kharif,Nirmal,Nirmal Urban,Cow Gram,0,0
2018-2019,Kharif,Nirmal,Nirmal Rural,Cow Gram,0,0
2018-2019,Kharif,Nirmal,Soan,Cow Gram,0,0
2018-2019,Kharif,Nirmal,Laxmanchanda,Cow Gram,0,0
2018-2019,Kharif,Nirmal,Mamada,Cow Gram,0,0
2018-2019,Kharif,Nirmal,Pembi,Cow Gram,0,0
2018-2019,Kharif,Nirmal,Khanapur,Cow Gram,1.8,6
2018-2019,Kharif,Nirmal,Kaddam peddur,Cow Gram,0,0
2018-2019,Kharif,Nirmal,Dasturabad,Cow Gram,0,0
2018-2019,Kharif,Nirmal,Kubeer,Soyabean,1882,6654
2018-2019,Kharif,Nirmal,Tanoor,Soyabean,2047.5,5949
2018-2019,Kharif,Nirmal,Basar,Soyabean,2080.75,2714
2018-2019,Kharif,Nirmal,Mudhole,Soyabean,197.5,2683
2018-2019,Kharif,Nirmal,Bhainsa,Soyabean,268.4,5885
2018-2019,Kharif,Nirmal,Kuntala,Soyabean,197.5,1681
